CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.03,Outros,1797796,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02,Ativo Não Circulante,285131735,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01,Ativo Realizável a Longo Prazo,41601648,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01.01,Títulos para Negociação,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01.02,Títulos Disponíveis para Venda,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.02.01,Títulos Mantidos até o Vencimento,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.03,Contas a Receber,732395,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.03.01,Clientes,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.03.02,Outras Contas a Receber,732395,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.04,Estoques,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.05,Ativos Biológicos,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.06,Tributos Diferidos,30867534,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,30867534,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.07,Despesas Antecipadas,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.08,Créditos com Partes Relacionadas,5353,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.08.01,Créditos com Coligadas,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.08.03,Créditos com Controladores,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.08.04,Créditos com Outras Partes Relacionadas,5353,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.09,Outros Ativos Não Circulantes,9996366,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.09.01,Ativos Não-Correntes a Venda,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.09.02,Ativos de Operações Descontinuadas,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.02,Investimentos,11481466,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.02.01,Participações Societárias,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.02.01.01,Participações em Coligadas,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.02.01.04,Outras Participações Societárias,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.02.02,Propriedades para Investimento,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.03,Imobilizado,211259131,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.03.01,Imobilizado em Operação,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.03.02,Imobilizado Arrendado,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.03.03,Imobilizado em Andamento,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.04,Intangível,20789490,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.04.01,Intangíveis,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.04.01.01,Contrato de Concessão,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2015-12-31,NA,2015-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.04.02,Goodwill,0,NA,dfp_cia_aberta_BPA_con_2015.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1,Ativo Total,322696154,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01,Ativo Circulante,73547191,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.01,Caixa e Equivalentes de Caixa,13890591,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02,Aplicações Financeiras,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01.01,Títulos para Negociação,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.01.02,Títulos Disponíveis para Venda,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.02.02.01,Títulos Mantidos até o Vencimento,0,NA,dfp_cia_aberta_BPA_con_2016.csv
